    INT     	         FLOAT         	          FLOAT          	       FLOAT        	     FLOAT     	      FLOAT       	       FLOAT        	     FLOAT      	    FLOAT     	   INT    	     FLOAT     	    FLOAT     	     FLOAT      	    FLOAT     	     FLOAT      	      INT      	 BOOL  	   BOOL   	      INT      	      INT      	        INT         	    FLOAT     	     FLOAT      	     FLOAT     	      FLOAT       	      FLOAT       	    FLOAT     	       BOOL        	     STRING     	      FLOAT      	      FLOAT      	    FLOAT     	       BOOL        
     -      	        kms^-1         	         kms^-1          	         -          	    kms^-1     	        -         	         -          	       -        	      -       	    -     	       -       	      -       	      Rsol      	     Rsol     	      Myr       	     State     	 State 	  Event   	       -       	       -       	         -          	     Msol     	      Msol      	     Msol      	       Msol       	       Msol       	     Msol     	       Event       	       -        	     kms^-1      	     kms^-1      	    kms^-1    	       State       
    SEED    	Drawn_Kick_Magnitude_SN	Applied_Kick_Magnitude_SN	Fallback_Fraction_SN	Orb_Velocity<SN	Kick_Magnitude(uK)	True_Anomaly(psi)_SN	SN_Kick_Theta_SN	SN_Kick_Phi_SN	SN_Type_SN	Eccentricity<SN	 Eccentricity 	SemiMajorAxis<SN	SemiMajorAxis 	      Time      	Supernova_State	Unbound	Runaway_CP	Stellar_Type_CP	Stellar_Type_SN	Stellar_Type_Prev_SN	   Mass_CP    	Mass_Total@CO_SN	Mass_Core@CO_SN	Mass_CO_Core@CO_SN	Mass_He_Core@CO_SN	   Mass_SN    	Experienced_RLOF_SN	MT_Donor_Hist_SN	ComponentSpeed_SN	ComponentSpeed_CP	SystemicSpeed 	Is_Hydrogen_Poor_SN
  1604557104	           1.800264e+02	             0.000000e+00	        1.000000e+00	   3.146945e+01	      0.000000e+00	        1.571609e+00	   -2.854004e-01	  5.102131e+00	         1	   0.000000e+00	  6.288109e-02	    1.379434e+04	  1.471995e+04	  5.07808096e+00	              1	0	0	              1	             14	                   5	  2.925727e+01	    4.238322e+01	   1.914272e+01	      1.477433e+01	      1.914272e+01	  3.814490e+01	0	NA              	     8.081361e-01	     8.081361e-01	  8.081361e-01	0
  1604557104	           1.865683e+02	             5.077797e+01	        7.278318e-01	   3.146927e+01	      1.613573e+00	        6.268737e+00	    1.830757e-01	  2.705363e+00	         1	   6.288109e-02	  3.909671e+00	    1.471995e+04	 -3.368420e+03	  6.59384012e+00	              2	1	0	             14	             14	                   5	  3.814490e+01	    2.925727e+01	   1.180568e+01	      8.900933e+00	      1.180568e+01	  1.950787e+01	0	NA              	     5.452129e+01	     4.235422e+00	  1.694177e+01	0
  1604557105	           1.514388e+02	             1.299320e+02	        1.420161e-01	   4.969455e+00	      2.614613e+01	        4.579878e+00	   -3.759388e-03	  6.246094e+00	         1	   0.000000e+00	  1.646393e+03	    2.001522e+05	 -1.211302e+02	  1.15487033e+01	              1	1	1	              1	             13	                   5	  8.612757e+00	    1.730855e+01	   5.953748e+00	      4.254346e+00	      5.953748e+00	  2.929726e+00	0	NA              	     1.315151e+02	     3.295639e+00	  3.093256e+01	0
  1604557106	           7.089639e+02	             5.533579e+02	        2.194836e-01	   4.785065e+01	      1.156427e+01	        3.749846e+00	    1.413951e+00	  4.701394e+00	         1	   0.000000e+00	  1.672134e+02	    1.641877e+03	 -9.838374e+00	  9.79251476e+00	              1	1	1	              1	             13	                   8	  1.411488e+01	    5.600060e+00	   3.991833e+00	      3.991833e+00	      5.600060e+00	  1.956655e+00	1	2               	     5.558201e+02	     1.352431e+01	  6.682708e+01	1
  1604557108	           6.565476e+01	             6.565476e+01	        0.000000e+00	   3.520585e+01	      1.864882e+00	        5.061057e+00	   -1.146027e+00	  5.464697e-02	         2	   0.000000e+00	  5.278463e+00	    2.098863e+03	 -4.881285e+02	  3.21589658e+01	              1	1	1	              4	             13	                   9	  1.162254e+01	    2.019925e+00	   1.381180e+00	      1.381180e+00	      2.019925e+00	  1.260000e+00	1	2               	     6.866890e+01	     4.501195e+00	  5.950071e+00	1
  1604557109	           6.035769e+02	             3.355129e+02	        4.441256e-01	   1.413060e+01	      2.374371e+01	        3.876466e+00	    7.185507e-01	  4.658750e+00	         1	   0.000000e+00	  7.518509e+02	    3.723695e+04	 -4.229347e+01	  8.38762176e+00	              1	1	1	              1	             14	                   5	  1.629601e+01	    2.269592e+01	   8.477448e+00	      6.678601e+00	      8.477448e+00	  9.772259e+00	0	NA              	     3.384392e+02	     8.172799e+00	  1.242456e+02	0
  1604557110	           6.106910e+02	             5.941974e+02	        2.700822e-02	   1.472436e+01	      4.035471e+01	        2.288774e+00	   -1.280983e+00	  1.990310e+00	         1	   0.000000e+00	  9.094920e+03	    7.779726e+03	 -8.228346e-01	  3.61764323e+01	              1	1	1	              0	             13	                   5	  2.402232e-01	    8.605153e+00	   2.394444e+00	      1.506487e+00	      2.394444e+00	  1.277584e+00	0	NA              	     5.941540e+02	     1.432709e+01	  5.003197e+02	0
  1604557112	           5.620534e+01	             5.620534e+01	        0.000000e+00	   7.970586e+01	      7.051595e-01	        1.191542e+00	   -5.985330e-01	  3.114802e+00	         2	   0.000000e+00	  2.108409e+00	    1.739986e+02	 -1.551720e+02	  2.76393830e+01	              1	1	1	              1	             13	                   8	  3.551670e+00	    2.245356e+00	   1.386107e+00	      1.386107e+00	      2.245356e+00	  1.260000e+00	1	2               	     6.254828e+01	     1.673868e+01	  9.401108e+00	1
